dummy1,dummy2,dummy3,lag0,lag1,lag2,tariff,gprice,iprice,usprice,income,time,timesq,y,x1,x2,z0,z1,z2




1,0,0,-5.046327,-10.56837,-32.13538,0,8.055514,7.37086,4.28524,7.160224,17,0.289,0.2106361,-2.874984,0.8952904,-40.84745,-82.17061,-246.9421
0,1,0,-4.705831,-9.965801,-30.40663,0,7.925928,7.480992,4.311202,7.193836,18,0.324,0.2871556,-2.882634,0.7320919,-40.67501,-81.90416,-246.2217
0,0,1,-4.293604,-9.344933,-28.6361,0,7.997915,7.549083,4.334673,7.222055,19,0.361,0.3270283,-2.887382,0.7758598,-40.40388,-81.56548,-245.2977
0,0,0,-3.933589,-8.596395,-26.51053,0,8.057999,7.618743,4.343676,7.255168,20,0.4,0.363575,-2.911492,0.8028307,-40.20943,-81.14807,-244.1656
1,0,0,-3.729585,-7.936373,-24.66886,0,7.93586,7.684324,4.390615,7.282143,21,0.441,0.4021807,-2.891528,0.653717,-40.1403,-80.7578,-243.1331
0,1,0,-3.616364,-7.217789,-22.13151,0,8.04914,7.63627,4.393832,7.298445,22,0.484,0.3378248,-2.904613,0.7506948,-40.10859,-80.20224,-241.0849
0,0,1,-3.602679,-6.818428,-20.125,0,7.977371,7.653969,4.438053,7.332435,23,0.529,0.3215337,-2.894382,0.6449361,-40.26485,-80.14278,-240.0981
0,0,0,-3.810776,-7.088453,-20.72142,0,7.878582,7.62949,4.440531,7.366635,24,0.576,0.2628551,-2.926104,0.5119472,-40.64395,-80.7548,-241.7205
1,0,0,-4.056241,-7.641696,-22.42144,0,7.9627,7.613325,4.440531,7.389379,25,0.625,0.2239461,-2.948848,0.5733209,-41.00314,-81.53548,-244.1028
0,1,0,-4.185118,-8.129552,-23.97948,0,8.14494,7.589336,4.490769,7.391539,26,0.676,0.1977968,-2.90077,0.7534013,-41.14281,-82.04494,-245.7256
0,0,1,-4.161524,-8.337153,-24.67618,0,8.166803,7.638198,4.450269,7.427739,27,0.729,0.2104588,-2.97747,0.7390642,-41.30022,-82.61455,-247.5084
0,0,0,-4.123344,-8.59643,-26.00078,0,8.062314,7.591357,4.488973,7.464968,28,0.784,0.126389,-2.975995,0.5973458,-41.44818,-83.24611,-249.9498
1,0,0,-3.974488,-8.38666,-25.65141,0,8.163877,7.661998,4.540098,7.495486,29,0.841,0.166512,-2.955388,0.6683908,-41.45192,-83.34151,-250.516
0,1,0,-3.872999,-7.926392,-24.22544,0,8.211599,7.655391,4.550503,7.506262,30,0.9,0.1491294,-2.955759,0.7053375,-41.40431,-82.98901,-249.4133
0,0,1,-3.869555,-7.591469,-22.91162,0,8.054434,7.734996,4.60437,7.533052,31,0.961,0.2019439,-2.928682,0.5213819,-41.53481,-82.92199,-248.9032
0,0,0,-3.890239,-7.531443,-22.3162,0,8.148986,7.684784,4.60517,7.541418,32,1.024,0.1433659,-2.936248,0.6075678,-41.59733,-82.94563,-248.5587
1,0,0,-3.992986,-7.710334,-22.71259,0,7.413532,7.69939,4.60517,7.559768,33,1.089,0.1396217,-2.954598,-0.1462364,-41.79183,-83.30801,-249.5056
0,1,0,-4.165451,-8.114486,-24.18207,0,7.999525,7.647309,4.60517,7.574456,34,1.156,0.0728526,-2.969286,0.4250689,-42.03773,-83.85905,-251.4158
0,0,1,-4.328265,-8.352627,-24.93995,0,8.06102,7.635304,4.601463,7.594029,35,1.225,0.041275,-2.992566,0.4669909,-42.29841,-84.29292,-252.7608
0,0,0,-4.441485,-8.49019,-25.01995,0,8.05918,7.640604,4.589853,7.616185,36,1.296,0.0244188,-3.026332,0.4429951,-42.52241,-84.65204,-253.5055
1,0,0,-4.489279,-8.898673,-26.27681,0,7.970871,7.747597,4.591274,7.671361,37,1.369,0.0762362,-3.080087,0.29951,-42.84608,-85.61228,-256.4176
0,1,0,-4.521243,-9.192825,-27.52789,0.3715636,8.000868,7.83716,4.602868,7.700793,38,1.444,0.1363673,-3.097925,0.3000751,-41.16739,-82.48512,-247.4048
0,0,1,-4.513847,-9.247934,-28.10411,0.3715636,8.202318,8.111028,4.632104,7.720861,39,1.521,0.3901668,-3.088757,0.4814572,-41.26033,-82.74091,-248.583
0,0,0,-4.413581,-9.005424,-27.33204,0.3715636,8.290338,8.082093,4.667863,7.7434,40,1.6,0.3386931,-3.075537,0.5469375,-41.27276,-82.72379,-248.4871
1,0,0,-4.296472,-8.647219,-25.89754,0.3715636,7.973124,8.280204,4.717427,7.765823,41,1.681,0.5143809,-3.048396,0.2073011,-41.26777,-82.58981,-247.7253
0,1,0,-4.27025,-8.656742,-26.05371,0.3001046,8.114878,7.989561,4.717606,7.789206,42,1.764,0.2003551,-3.0716,0.3256717,-41.71576,-83.54776,-250.7268
0,0,1,-4.295199,-8.602006,-26.01251,0.3001046,8.041138,8.109225,4.701026,7.799344,43,1.849,0.3098812,-3.098318,0.2417936,-41.7914,-83.5944,-250.9897
0,0,0,-4.304532,-8.458053,-25.33595,0.3001046,8.116838,7.990238,4.685367,7.816054,44,1.936,0.1741843,-3.130687,0.3007846,-41.88428,-83.61755,-250.8144
1,0,0,-5.046327,-10.56837,-32.13538,0,8.055514,7.49443,4.28524,4.54086,17,0.289,2.95357,-0.25562,3.514654,-27.75063,-55.97697,-168.3612
0,1,0,-4.705831,-9.965801,-30.40663,0,7.925928,7.534228,4.311202,4.529852,18,0.324,3.004376,-0.2186499,3.396076,-27.35509,-55.26432,-166.3022
0,0,1,-4.293604,-9.344933,-28.6361,0,7.997915,7.626083,4.334673,4.428407,19,0.361,3.197676,-0.0937343,3.569508,-26.43564,-53.62901,-161.4883
0,0,0,-3.933589,-8.596395,-26.51053,0,8.057999,7.668094,4.343676,4.445682,20,0.4,3.222412,-0.102006,3.612317,-26.162,-53.05322,-159.881
1,0,0,-3.729585,-7.936373,-24.66886,0,7.93586,7.696667,4.390615,4.577083,21,0.441,3.119584,-0.1864681,3.358777,-26.615,-53.7072,-161.9814
0,1,0,-3.616364,-7.217789,-22.13151,0,8.04914,7.646832,4.393832,4.54181,22,0.484,3.105022,-0.1479778,3.50733,-26.32541,-52.63589,-158.3858
0,0,1,-3.602679,-6.818428,-20.125,0,7.977371,7.69939,4.438053,4.605662,23,0.529,3.093728,-0.1676087,3.371709,-26.63099,-52.87505,-158.2949
0,0,0,-3.810776,-7.088453,-20.72142,0,7.878582,7.593878,4.440531,4.643473,24,0.576,2.950405,-0.2029424,3.235109,-27.02814,-53.52319,-160.0256
1,0,0,-4.056241,-7.641696,-22.42144,0,7.9627,7.634821,4.440531,4.870429,25,0.625,2.764392,-0.4298983,3.092271,-28.40839,-56.34599,-168.5343
0,1,0,-4.185118,-8.129552,-23.97948,0,8.14494,7.595388,4.490769,4.955774,26,0.676,2.639614,-0.4650049,3.189167,-28.96399,-57.68729,-172.6527
0,0,1,-4.161524,-8.337153,-24.67618,0,8.166803,7.582229,4.450269,4.661995,27,0.729,2.920234,-0.2117257,3.504808,-27.4715,-54.9571,-164.536
0,0,0,-4.123344,-8.59643,-26.00078,0,8.062314,7.434848,4.488973,4.706069,28,0.784,2.728779,-0.2170959,3.356245,-27.65369,-55.65712,-167.1828
1,0,0,-3.974488,-8.38666,-25.65141,0,8.163877,7.646832,4.540098,4.939212,29,0.841,2.70762,-0.3991137,3.224665,-28.67055,-57.77878,-173.8278
0,1,0,-3.872999,-7.926392,-24.22544,0,8.211599,7.660585,4.550503,4.884711,30,0.9,2.775874,-0.334208,3.326889,-28.29655,-56.7735,-170.7668
0,0,1,-3.869555,-7.591469,-22.91162,0,8.054434,7.582738,4.60437,4.774448,31,0.961,2.80829,-0.1700778,3.279986,-27.74179,-55.33595,-166.1451
0,0,0,-3.890239,-7.531443,-22.3162,0,8.148986,7.582738,4.60517,4.891566,32,1.024,2.691172,-0.286396,3.25742,-28.34807,-56.4471,-169.0632
1,0,0,-3.992986,-7.710334,-22.71259,0,7.413532,7.621195,4.60517,4.988153,33,1.089,2.633042,-0.3829832,2.425379,-28.93375,-57.59187,-172.3572
0,1,0,-4.165451,-8.114486,-24.18207,0,7.999525,7.47817,4.60517,4.934049,34,1.156,2.544121,-0.3288794,3.065476,-28.8357,-57.45498,-172.2035
0,0,1,-4.328265,-8.352627,-24.93995,0,8.06102,7.13966,4.601463,4.596992,35,1.225,2.542668,0.0044708,3.464028,-27.31322,-54.32255,-162.8497
0,0,0,-4.441485,-8.49019,-25.01995,0,8.05918,7.462215,4.589853,4.588911,36,1.296,2.873304,0.0009418,3.470269,-27.38604,-54.3793,-162.6873
1,0,0,-4.489279,-8.898673,-26.27681,0,7.970871,7.626083,4.591274,4.848041,37,1.369,2.778042,-0.2567673,3.12283,-28.72948,-57.37908,-171.718
0,1,0,-4.521243,-9.192825,-27.52789,0.3715636,8.000868,7.868254,4.602868,4.933675,38,1.444,2.934579,-0.3308067,3.067193,-27.3318,-54.81394,-164.3912
0,0,1,-4.513847,-9.247934,-28.10411,0.3715636,8.202318,8.18535,4.632104,4.662168,39,1.521,3.523182,-0.0300641,3.54015,-25.96687,-52.15398,-156.8223
0,0,0,-4.413581,-9.005424,-27.33204,0.3715636,8.290338,8.144679,4.667863,4.759043,40,1.6,3.385636,-0.0911803,3.531294,-26.35098,-52.88022,-158.9564
1,0,0,-4.296472,-8.647219,-25.89754,0.3715636,7.973124,8.147288,4.717427,5.150245,41,1.681,2.997043,-0.4328184,2.822879,-28.18988,-56.43404,-169.258
0,1,0,-4.27025,-8.656742,-26.05371,0.3001046,8.114878,7.874359,4.717606,5.114672,42,1.764,2.759687,-0.3970661,3.000206,-28.34309,-56.80242,-170.4907
0,0,1,-4.295199,-8.602006,-26.01251,0.3001046,8.041138,7.932003,4.701026,4.775958,43,1.849,3.156045,-0.0749321,3.26518,-26.67447,-53.36054,-160.2881
0,0,0,-4.304532,-8.458053,-25.33595,0.3001046,8.116838,7.916443,4.685367,4.756951,44,1.936,3.159492,-0.0715837,3.359888,-26.58876,-53.02652,-159.0413
1,0,0,-4.39516,-8.502571,-25.27649,0.3001046,7.920729,8.030735,4.680278,4.928017,45,2.025,3.102718,-0.2477393,2.992712,-27.53472,-54.7817,-164.1139
0,1,0,-4.435641,-8.64196,-25.55698,0.1823216,8.230674,8.017307,4.69866,5.060215,46,2.116,2.957092,-0.3615551,3.170459,-28.82511,-57.42089,-171.8938
0,0,1,-4.434643,-8.892613,-26.5094,0.1823216,8.128091,8.217709,4.690246,4.830687,47,2.209,3.387022,-0.1404409,3.297404,-27.67647,-55.37627,-165.9604
0,0,0,-4.272728,-8.966723,-26.9266,0.1823216,8.084033,8.036573,4.675349,4.887786,48,2.304,3.148787,-0.2124367,3.196247,-27.80005,-56.02137,-168.0905
1,0,0,-4.003306,-8.827843,-27.07473,0.1823216,8.265142,8.04783,4.630643,4.974947,49,2.401,3.072883,-0.3443041,3.290195,-27.96643,-56.7541,-170.8535
0,1,0,-3.587896,-8.187219,-25.51407,0.1397619,8.38892,8.142936,4.638798,4.892891,50,2.5,3.250045,-0.2540927,3.496029,-27.35354,-55.71851,-168.1079
0,0,1,-3.133494,-7.316235,-23.10327,0.1397619,8.492688,8.284252,4.641599,4.648197,51,2.601,3.636055,-0.006598,3.844491,-25.67567,-52.40059,-158.3563
0,0,0,-2.78033,-6.260306,-19.7438,0.1397619,8.443164,8.37263,4.651767,4.687645,52,2.704,3.684985,-0.0358782,3.755519,-25.51974,-51.73914,-156.1803
1,0,0,-2.478872,-5.425415,-16.96865,0.1397619,8.520184,8.206857,4.675069,5.06685,53,2.809,3.140007,-0.3917813,3.453333,-27.11431,-54.6963,-164.7813
